0x0	0xb
0x122	0x12d
0x12d	0x138
0x138	0x143
0x143	0x14e
0x14e	0x159
0x159	0x164
0x164	0x16f
0x16f	0x17a
0x17a	0x185
0x185	0x190
0x190	0x19b
0x19b	0x1a6
0x1a6	0x1b1
0x1b1	0x1bc
0x1bc	0x1c7
0x1c7	0x1d2
0x1d2	0x1dd
0x1dd	0x1e8
0x1e8	0x1f3
0xfbc	0xfd3
0x122a	0x123e
0x1299	0x12ab
0x133b	0x1343
0x1742	0x1754
0x1766	0x177b
0x178d	0x1793
0x1cf1	0x1cfc
0x1f0d	0x1f15
0x1f15	0x1f31
0x1f3a	0x1f3e
0x1fd3	0x1fdb
0x1ff7	0x2010
0x20b0	0x20b8
0x20d4	0x20ed
0x2123	0x2134
0x213d	0x2141
0x25c0x1f8	0x2750x1f8
0x25c0x485	0x2750x485
0x25c0x62e	0x2750x62e
0x2480x1f8	0x25c0x1f8
0x2480x485	0x25c0x485
0x2480x62e	0x25c0x62e
0x22f0x1f8	0x2380x1f8
0x22f0x485	0x2380x485
0x22f0x62e	0x2380x62e
0x20b0x1f8	0x22f0x1f8
0x20b0x485	0x22f0x485
0x20b0x62e	0x22f0x62e
0x2380x1f8	0x2400x1f8
0x2380x485	0x2400x485
0x2380x62e	0x2400x62e
0xb78B0x203	0xbc8B0x203
0xbc8B0x203	0xbd0B0x203
0xbe30xb78B0x203	0xbf10xb78B0x203
0xbf10xb78B0x203	0xc050xb78B0x203
0xc050xb78B0x203	0xc0e0xb78B0x203
0xc9cB0x2e9	0xca00xc9cB0x2e9
0xca3B0x30e	0xcbaB0x30e
0xcbeB0x30e	0xccd0xca3B0x30e
0xdddB0x490	0xe2dB0x490
0xe2dB0x490	0xe35B0x490
0xbe30xdddB0x490	0xbf10xdddB0x490
0xbf10xdddB0x490	0xc050xdddB0x490
0xc050xdddB0x490	0xc0e0xdddB0x490
0xee0B0x573	0xefaB0x573
0x10a0B0x639	0x10f0B0x639
0x10f0B0x639	0x10f8B0x639
0xbe30x10a0B0x639	0xbf10x10a0B0x639
0xbf10x10a0B0x639	0xc050x10a0B0x639
0xc050x10a0B0x639	0xc0e0x10a0B0x639
0x1366B0x78b	0x1377B0x78b
0x1434B0x822	0x1445B0x822
0x1459B0x822	0x145fB0x822
0x14f7B0x822	0x150bB0x822
0x14deB0x822	0x14e7B0x822
0x1524B0x822	0x1541B0x822
0x1545B0x822	0x1552B0x822
0x145fB0x822	0x14deB0x822
0x14e7B0x822	0x14efB0x822
0x150bB0x822	0x1524B0x822
0xee0B0x1800	0xefaB0x1800
0xee0B0xdb4	0xefaB0xdb4
0xc9cB0xdbd	0xca00xc9cB0xdbd
0xc9cB0x1811	0xca00xc9cB0x1811
0xee0B0x1d13	0xefaB0x1d13
0xc9cB0x1b21	0xca00xc9cB0x1b21
0xee0B0x1d24	0xefaB0x1d24
0xc9cB0x1d2f	0xca00xc9cB0x1d2f
0x222cB0xf9a	0x223aB0xf9a
0x2270B0x223aB0xf9a	0x2276B0x223aB0xf9a
0x2276B0x223aB0xf9a	0x227fB0x223aB0xf9a
0x1ad5B0x328	0x1b02B0x328
0x17cdB0x328	0x17d6B0x328
0x1a4dB0x328	0x1a5bB0x328
0x1a5cB0x328	0x1a68B0x328
0x1a70B0x328	0x1a81B0x328
0x1a89B0x328	0x1ab9B0x328
0x1accB0x328	0x1ad5B0x328
0xee0B0x179aB0x328	0xefaB0x179aB0x328
0xee0B0x17abB0x328	0xefaB0x17abB0x328
0xc9cB0x17b6B0x328	0xca00xc9cB0x17b6B0x328
0x2270B0x2207B0xf80	0x2276B0x2207B0xf80
0x2276B0x2207B0xf80	0x227fB0x2207B0xf80
0xd37	0xd38
0xd96	0xd97
0xedc	0xedd
0x108c	0x108d
0x117d	0x117e
0x11d6	0x11d7
0x123e	0x123f
0x163a	0x163b
0x1697	0x1698
0x1793	0x1794
0x19a40x1995	0x19a80x1995
0x19a40x1ce4	0x19a80x1ce4
0xccd0xca3B0x30e	0xcce0xca3B0x30e
0x1387B0x78b	0x138d0x1366B0x78b
0x1a24B0x78b	0x1a27B0x78b
0xcdfB0x328	0xce20xcd1B0x328
0x17f0B0x328	0x17f4B0x328
0x17eeB0x328	0x17f0B0x328
0x1b06B0x328	0x1b07B0x328
0x1b02B0x328	0x1b06B0x328
0xccd0x2207B0xf80	0xcce0x2207B0xf80
0x142e0x222cB0xf9a	0x142f0x222cB0xf9a
0x1395B0x804	0x13acB0x804
0x13c2B0x804	0x13d3B0x804
0x13d3B0x804	0x142e0x1395B0x804
0x222cB0x13b0B0x804	0x223aB0x13b0B0x804
0x2270B0x223aB0x13b0B0x804	0x2276B0x223aB0x13b0B0x804
0x2276B0x223aB0x13b0B0x804	0x227fB0x223aB0x13b0B0x804
0x142e0x1395B0x804	0x142f0x1395B0x804
0x142e0x222cB0x13b0B0x804	0x142f0x222cB0x13b0B0x804
