0xbb	0x6635	320
0x2788	0x366465656661	320
0x2788	0x64356236303030	320
0x2788	0x66666631393930	320
0x2788	0x66666639313930	320
0x2788	0x66666631363931	320
0x2788	0x65356236303030	320
0x2788	0x66666631393136	320
0x2788	0x65346133353864	320
0x2788	0x346133353864	320
0x2788	0x32393361393136	320
0x2788	0x37323861613835	320
0x2788	0x373961383562	320
0x27ce	0x66666666666666	320
0x27ce	0x366465656661	320
0x27ce	0x64356236303030	320
0x27ce	0x66666631393930	320
0x27ce	0x66666639313930	320
0x27ce	0x66666631363931	320
0x27ce	0x65356236303030	320
0x27ce	0x66666631393136	320
0x27ce	0x65346133353864	320
0x27ce	0x346133353864	320
0x27ce	0x32393361393136	320
0x27ce	0x37323861613835	320
0x27ce	0x373961383562	320
0x28c6	0x3036	317
0x28c6	0x3033	320
0x2c46	0x66666666666666	320
0x2c46	0x366465656661	320
0x2c46	0x64356236303030	320
0x2c46	0x66666631393930	320
0x2c46	0x66666639313930	320
0x2c46	0x66666631363931	320
0x2c46	0x65356236303030	320
0x2c46	0x66666631393136	320
0x2c46	0x65346133353864	320
0x2c46	0x346133353864	320
0x2c46	0x32393361393136	320
0x2c46	0x37323861613835	320
0x2c46	0x373961383562	320
0x2dda	0x633537	320
