0x14c2	0x353738303633	320
0x14c2	0x64356236313036	320
0x14c2	0x64356236313037	320
0x14c2	0x64356236313061	320
0x14c2	0x64356236313062	320
0x14c2	0x3035386630	320
0x14c2	0x66303231393136	320
0x14c2	0x64356236303030	320
0x14c2	0x353766653562	320
0x14c2	0x63333738646161	320
0x14c2	0x323464373138	320
0x14c2	0x656333633031	320
0x14c2	0x64356236313239	320
0x14c2	0x64356236313265	320
0x171a	0x66666666666666	320
0x171a	0x31353738303633	320
0x171a	0x353738303633	320
0x171a	0x64356236313036	320
0x171a	0x64356236313037	320
0x171a	0x64356236313061	320
0x171a	0x64356236313062	320
0x171a	0x3035386630	320
0x171a	0x66303231393136	320
0x171a	0x64356236303030	320
0x171a	0x353766653562	320
0x171a	0x63333738646161	320
0x171a	0x323464373138	320
0x171a	0x656333633031	320
0x171a	0x64356236313239	320
0x171a	0x64356236313265	320
0x196d	0x66666666666666	3695204
0x196d	0x31353738303633	3695204
0x196d	0x353738303633	3695204
0x196d	0x393861	2147428866
0x196d	0x643435	2144611886
0x196d	0x64356236313036	3695204
0x196d	0x64356236313037	3695204
0x196d	0x64356236313061	3695204
0x196d	0x64356236313062	3695204
0x196d	0x646635	2144599086
0x196d	0x386264	2147483647
0x196d	0x3035386630	3695204
0x196d	0x393235	2147430446
0x196d	0x66303231393136	3695204
0x196d	0x64356236303030	3695204
0x196d	0x353766653562	3695204
0x196d	0x63333738646161	3695204
0x196d	0x30343537	1342450988
0x196d	0x30613235	1339502638
0x196d	0x396335	2147417902
0x196d	0x623235	2144743470
0x196d	0x633535	2144677166
0x196d	0x653135	2144547118
0x196d	0x33343338	1292119851
0x196d	0x323464373138	3695204
0x196d	0x656333633031	3695204
0x196d	0x33333536	1292184877
0x196d	0x34613631	1272392754
0x196d	0x64356236313239	3695204
0x196d	0x653535	2144546094
0x196d	0x663835	2144479790
0x196d	0x64356236313265	3695204
0x196d	0x64316664	470219775
0x196d	0x626237	2144731180
0x1e14	0x66666666666666	320
0x1e14	0x31353738303633	320
0x1e14	0x353738303633	320
0x1e14	0x64356236313036	320
0x1e14	0x64356236313037	320
0x1e14	0x64356236313061	320
0x1e14	0x64356236313062	320
0x1e14	0x3035386630	320
0x1e14	0x66303231393136	320
0x1e14	0x64356236303030	320
0x1e14	0x353766653562	320
0x1e14	0x63333738646161	320
0x1e14	0x323464373138	320
0x1e14	0x656333633031	320
0x1e14	0x64356236313239	320
0x1e14	0x64356236313265	320
0x1e4a	0x66666666666666	320
0x1e4a	0x31353738303633	320
0x1e4a	0x353738303633	320
0x1e4a	0x64356236313036	320
0x1e4a	0x64356236313037	320
0x1e4a	0x64356236313061	320
0x1e4a	0x64356236313062	320
0x1e4a	0x3035386630	320
0x1e4a	0x66303231393136	320
0x1e4a	0x64356236303030	320
0x1e4a	0x353766653562	320
0x1e4a	0x63333738646161	320
0x1e4a	0x323464373138	320
0x1e4a	0x656333633031	320
0x1e4a	0x64356236313239	320
0x1e4a	0x64356236313265	320
0x1f62	0x66666666666666	320
0x1f62	0x31353738303633	320
0x1f62	0x353738303633	320
0x1f62	0x64356236313036	320
0x1f62	0x64356236313037	320
0x1f62	0x64356236313061	320
0x1f62	0x64356236313062	320
0x1f62	0x3035386630	320
0x1f62	0x66303231393136	320
0x1f62	0x64356236303030	320
0x1f62	0x353766653562	320
0x1f62	0x63333738646161	320
0x1f62	0x323464373138	320
0x1f62	0x656333633031	320
0x1f62	0x64356236313239	320
0x1f62	0x64356236313265	320
0x245e	0x66666666666666	320
0x245e	0x31353738303633	320
0x245e	0x353738303633	320
0x245e	0x64356236313036	320
0x245e	0x64356236313037	320
0x245e	0x64356236313061	320
0x245e	0x64356236313062	320
0x245e	0x3035386630	320
0x245e	0x66303231393136	320
0x245e	0x64356236303030	320
0x245e	0x353766653562	320
0x245e	0x63333738646161	320
0x245e	0x323464373138	320
0x245e	0x656333633031	320
0x245e	0x64356236313239	320
0x245e	0x64356236313265	320
0x24ee	0x66666666666666	320
0x24ee	0x31353738303633	320
0x24ee	0x353738303633	320
0x24ee	0x64356236313036	320
0x24ee	0x64356236313037	320
0x24ee	0x64356236313061	320
0x24ee	0x64356236313062	320
0x24ee	0x3035386630	320
0x24ee	0x66303231393136	320
0x24ee	0x64356236303030	320
0x24ee	0x353766653562	320
0x24ee	0x63333738646161	320
0x24ee	0x323464373138	320
0x24ee	0x656333633031	320
0x24ee	0x64356236313239	320
0x24ee	0x64356236313265	320
0x2d12	0x66666666666666	320
0x2d12	0x31353738303633	320
0x2d12	0x353738303633	320
0x2d12	0x64356236313036	320
0x2d12	0x64356236313037	320
0x2d12	0x64356236313061	320
0x2d12	0x64356236313062	320
0x2d12	0x3035386630	320
0x2d12	0x66303231393136	320
0x2d12	0x64356236303030	320
0x2d12	0x353766653562	320
0x2d12	0x63333738646161	320
0x2d12	0x323464373138	320
0x2d12	0x656333633031	320
0x2d12	0x64356236313239	320
0x2d12	0x64356236313265	320
0x310f	0x393235	320
0x3206	0x66666666666666	808727863
0x3206	0x31353738303633	808727863
0x3206	0x353738303633	808727863
0x3206	0x64356236313036	808727863
0x3206	0x64356236313037	808727863
0x3206	0x64356236313061	808727863
0x3206	0x64356236313062	808727863
0x3206	0x3035386630	808727863
0x3206	0x66303231393136	808727863
0x3206	0x64356236303030	808727863
0x3206	0x353766653562	808727863
0x3206	0x63333738646161	808727863
0x3206	0x30343537	2147483647
0x3206	0x30613235	2144535297
0x3206	0x33343338	2097152510
0x3206	0x323464373138	808727863
0x3206	0x656333633031	808727863
0x3206	0x33333536	2097217536
0x3206	0x34613631	2077425413
0x3206	0x64356236313239	808727863
0x3206	0x64356236313265	808727863
0x3206	0x64316664	1275252434
0x3231	0x353138	320
0x3992	0x66666666666666	320
0x3992	0x31353738303633	320
0x3992	0x353738303633	320
0x3992	0x64356236313036	320
0x3992	0x64356236313037	320
0x3992	0x64356236313061	320
0x3992	0x64356236313062	320
0x3992	0x3035386630	320
0x3992	0x66303231393136	320
0x3992	0x64356236303030	320
0x3992	0x353766653562	320
0x3992	0x63333738646161	320
0x3992	0x323464373138	320
0x3992	0x656333633031	320
0x3992	0x64356236313239	320
0x3992	0x64356236313265	320
0x41b0	0x66666666666666	320
0x41b0	0x31353738303633	320
0x41b0	0x353738303633	320
0x41b0	0x64356236313036	320
0x41b0	0x64356236313037	320
0x41b0	0x64356236313061	320
0x41b0	0x64356236313062	320
0x41b0	0x3035386630	320
0x41b0	0x66303231393136	320
0x41b0	0x64356236303030	320
0x41b0	0x353766653562	320
0x41b0	0x63333738646161	320
0x41b0	0x323464373138	320
0x41b0	0x656333633031	320
0x41b0	0x64356236313239	320
0x41b0	0x64356236313265	320
0x43be	0x66666666666666	320
0x43be	0x31353738303633	320
0x43be	0x353738303633	320
0x43be	0x64356236313036	320
0x43be	0x64356236313037	320
0x43be	0x64356236313061	320
0x43be	0x64356236313062	320
0x43be	0x3035386630	320
0x43be	0x66303231393136	320
0x43be	0x64356236303030	320
0x43be	0x353766653562	320
0x43be	0x63333738646161	320
0x43be	0x323464373138	320
0x43be	0x656333633031	320
0x43be	0x64356236313239	320
0x43be	0x64356236313265	320
0x442d	0x66666666666666	3684149
0x442d	0x31353738303633	3684149
0x442d	0x353738303633	3684149
0x442d	0x64356236313036	3684149
0x442d	0x64356236313037	3684149
0x442d	0x64356236313061	3684149
0x442d	0x64356236313062	3684149
0x442d	0x3035386630	3684149
0x442d	0x66303231393136	3684149
0x442d	0x64356236303030	3684149
0x442d	0x353766653562	3684149
0x442d	0x63333738646161	3684149
0x442d	0x323464373138	3684149
0x442d	0x656333633031	3684149
0x442d	0x64356236313239	3684149
