0x1c43	0x353035
0x1c4b	0x363030
0x1c65	0x3930
0x1c6c	0x66313639303530
0x1c79	0x363030
0x1ca9	0x363130
0x1cad	0x356336313132
0x1cb9	0x363130
0x1cbd	0x363535373630
0x1cc8	0x64356236303030
0x1cd2	0x66666666666666
0x1cda	0x66666666666666
0x1ce2	0x66666666666666
0x1cea	0x66666666666666
0x1cf2	0x66666666666666
0x1d11	0x3930
0x1d18	0x66666666666666
0x1d20	0x66666666666666
0x1d28	0x66666666666666
0x1d30	0x66666666666666
0x1d38	0x66666666666666
0x1d44	0x66666666666666
0x1d4c	0x66666666666666
0x1d54	0x66666666666666
0x1d5c	0x66666666666666
0x1d64	0x66666666666666
0x1d6f	0x38626530303739
0x1d77	0x35333136
0x1d84	0x64316664
0x1d8a	0x3466
0x1d95	0x39373232613364
0x1d9d	0x6166
0x1da0	0x336234313836
0x1da7	0x36623634353765
0x1dc4	0x3336
0x1dd9	0x3831
0x1de2	0x66666666666666
0x1dea	0x66666666666666
0x1df2	0x66666666666666
0x1dfa	0x66666666666666
0x1e02	0x66666666666666
0x1e16	0x66666666666666
0x1e1e	0x66666666666666
0x1e26	0x66666666666666
0x1e2e	0x66666666666666
0x1e36	0x66666666666666
0x1e4d	0x363030
0x1e55	0x37613832363030
0x1e66	0x66666666666666
0x1e6e	0x66666666666666
0x1e76	0x66666666666666
0x1e7e	0x66666666666666
0x1e86	0x66666666666666
0x1e92	0x66666666666666
0x1e9a	0x66666666666666
0x1ea2	0x66666666666666
0x1eaa	0x66666666666666
0x1eb2	0x66666666666666
0x1ede	0x31393039313930
0x1ee8	0x66666666666666
0x1ef5	0x363030
0x1f02	0x66666666666666
0x1f0a	0x66666666666666
0x1f12	0x66666666666666
0x1f1a	0x66666666666666
0x1f22	0x66666666666666
0x1f2e	0x66666666666666
0x1f36	0x66666666666666
0x1f3e	0x66666666666666
0x1f46	0x66666666666666
0x1f4e	0x66666666666666
0x1f81	0x38323630
0x1f90	0x66666666666666
0x1f98	0x66666666666666
0x1fa0	0x66666666666666
0x1fa8	0x66666666666666
0x1fb0	0x66666666666666
0x1fbc	0x66666666666666
0x1fc4	0x66666666666666
0x1fcc	0x66666666666666
0x1fd4	0x66666666666666
0x1fdc	0x66666666666666
0x200a	0x66666666666666
0x2012	0x66666666666666
0x201a	0x66666666666666
0x2022	0x66666666666666
0x202a	0x66666666666666
0x2036	0x66666666666666
0x203e	0x66666666666666
0x2046	0x66666666666666
0x204e	0x66666666666666
0x2056	0x66666666666666
0x2082	0x31393039313930
0x208c	0x66666666666666
0x2099	0x363030
0x20a6	0x66666666666666
0x20ae	0x66666666666666
0x20b6	0x66666666666666
0x20be	0x66666666666666
0x20c6	0x66666666666666
0x20d2	0x66666666666666
0x20da	0x66666666666666
0x20e2	0x66666666666666
0x20ea	0x66666666666666
0x20f2	0x66666666666666
0x2120	0x66666666666666
0x2128	0x66666666666666
0x2130	0x66666666666666
0x2138	0x66666666666666
0x2140	0x66666666666666
0x214c	0x66666666666666
0x2154	0x66666666666666
0x215c	0x66666666666666
0x2164	0x66666666666666
0x216c	0x66666666666666
0x219e	0x313832363030
0x21ac	0x31393039313930
0x21b6	0x66666666666666
0x21c3	0x363030
0x21d4	0x66666666666666
0x21dc	0x66666666666666
0x21e4	0x66666666666666
0x21ec	0x66666666666666
0x21f4	0x66666666666666
0x21ff	0x63633136663564
0x2207	0x623438
0x2213	0x31656530
0x2219	0x6264303637
0x2221	0x66666363
0x222c	0x66376137
0x2232	0x3066
0x2235	0x6237356433
0x223d	0x61353833
0x226a	0x3236
0x227f	0x363131
0x228f	0x363131
0x229e	0x64356236303036
0x22b7	0x3930
0x22be	0x66313631353631
0x22c9	0x3537
0x22d2	0x64356236303031
0x22e9	0x3831
0x22f2	0x66303231393136
0x230d	0x36326537386365
0x2315	0x3031
0x2318	0x656533
0x231e	0x64346534
0x2328	0x356561
0x2331	0x3131623063
0x2338	0x37343735346562
0x2340	0x6266633534
0x2347	0x303561
0x235c	0x66666666666666
0x2364	0x66666666666666
0x236c	0x66666666666666
0x2374	0x66666666666666
0x237c	0x66666666666666
0x2388	0x66666666666666
0x2390	0x66666666666666
0x2398	0x66666666666666
0x23a0	0x66666666666666
0x23a8	0x66666666666666
0x23d0	0x3135
0x23d5	0x363030
0x23ef	0x3930
0x23f6	0x66666666666666
0x23fe	0x66666666666666
0x2406	0x66666666666666
0x240e	0x66666666666666
0x2416	0x66666666666666
0x2429	0x363030
0x2443	0x3930
0x244a	0x66666666666666
0x2452	0x66666666666666
0x245a	0x66666666666666
0x2462	0x66666666666666
0x246a	0x66666666666666
0x2476	0x66666666666666
0x247e	0x66666666666666
0x2486	0x66666666666666
0x248e	0x66666666666666
0x2496	0x66666666666666
0x24a4	0x66666666666666
0x24ac	0x66666666666666
0x24b4	0x66666666666666
0x24bc	0x66666666666666
0x24c4	0x66666666666666
0x24d9	0x363030
0x2509	0x30313630323038
0x257d	0x31303631313264
0x25af	0x383230
0x25cb	0x383135
0x25ee	0x353537383239
0x25fb	0x31363832303139
0x2605	0x353035
0x2615	0x363131
0x2625	0x363131
0x262b	0x353736
0x2634	0x64356238303630
0x265e	0x30353635
0x2663	0x353035
0x266b	0x363030
0x2685	0x363030
0x2699	0x363030
0x26c9	0x3930
0x26d0	0x66313638313536
0x26d9	0x363030
0x26eb	0x38353835
0x26f3	0x3135
0x26f9	0x313536
0x2700	0x62353738
0x2708	0x66666666666666
0x2710	0x66666666666666
0x2718	0x66666666666666
0x2720	0x66666666666666
0x2728	0x66666666666666
0x2735	0x34666663623133
0x274e	0x66666666666666
0x275a	0x303162383135
0x276e	0x66666666666666
0x2776	0x66666666666666
0x277e	0x66666666666666
0x2786	0x66666666666666
0x278e	0x66666666666666
0x279a	0x66666666666666
0x27a2	0x66666666666666
0x27aa	0x66666666666666
0x27b2	0x66666666666666
0x27ba	0x66666666666666
0x27de	0x66666666666666
0x27e6	0x66666666666666
0x27ee	0x66666666666666
0x27f6	0x66666666666666
0x27fe	0x66666666666666
0x280a	0x66666666666666
0x2812	0x66666666666666
0x281a	0x66666666666666
0x2822	0x66666666666666
0x282a	0x66666666666666
0x287f	0x383338
0x288d	0x3537
0x28b1	0x35363562353035
0x28cd	0x31363830313536
0x28f9	0x3033
0x290f	0x353039
0x293b	0x313538
0x2946	0x3935
0x2950	0x64356235303561
0x2958	0x31313538303135
0x2964	0x643537
0x2969	0x3630303038
0x2971	0x336436303030
0x2978	0x64356235303530
0x2992	0x64353635
0x2997	0x353035
0x299b	0x393339
0x29a9	0x363030
0x29f3	0x363131
0x2a03	0x363131
0x2a09	0x3537
0x2a12	0x64356238303630
0x2a24	0x66666666666666
0x2a2c	0x66666666666666
0x2a34	0x66666666666666
0x2a3c	0x66666666666666
0x2a44	0x66666666666666
0x2a50	0x66666666666666
0x2a58	0x66666666666666
0x2a60	0x66666666666666
0x2a68	0x66666666666666
0x2a70	0x66666666666666
0x2aa1	0x3831
0x2aaa	0x66303231393136
0x2ac5	0x34383333353233
0x2ace	0x343835
0x2ad3	0x33353337376564
0x2add	0x31363465386336
0x2ae5	0x33633336366535
0x2aee	0x6330
0x2af2	0x393661
0x2afa	0x3461393831
0x2b01	0x3033
0x2b04	0x3538
0x2b16	0x66666666666666
0x2b1e	0x66666666666666
0x2b26	0x66666666666666
0x2b2e	0x66666666666666
0x2b36	0x66666666666666
0x2b42	0x66666666666666
0x2b4a	0x66666666666666
0x2b52	0x66666666666666
0x2b5a	0x66666666666666
0x2b62	0x66666666666666
0x2ba0	0x3135
0x2ba9	0x363131
0x2bae	0x6336313132
0x2bb9	0x363131
0x2bbe	0x353537363030
0x2bc8	0x64356236313135
0x2bd0	0x653831363131
0x2bd8	0x3735
0x2bdd	0x353035
0x2be3	0x363030
0x2bfe	0x64356236303030
0x2c23	0x363030
0x2c39	0x3930
0x2c40	0x66313631353631
0x2c4b	0x353736
0x2c54	0x64356236303030
0x2c5e	0x66666666666666
0x2c66	0x66666666666666
0x2c6e	0x66666666666666
0x2c76	0x66666666666666
0x2c7e	0x66666666666666
0x2c8c	0x66666666666666
0x2c94	0x66666666666666
0x2c9c	0x66666666666666
0x2ca4	0x66666666666666
0x2cac	0x66666666666666
0x2cc8	0x64356236303037
0x2cd8	0x66666666666666
0x2ce0	0x66666666666666
0x2ce8	0x66666666666666
0x2cf0	0x66666666666666
0x2cf8	0x66666666666666
0x2d04	0x66666666666666
0x2d0c	0x66666666666666
0x2d14	0x66666666666666
0x2d1c	0x66666666666666
0x2d24	0x66666666666666
0x2d5b	0x3930
0x2d62	0x66313631353631
0x2d6c	0x633537
0x2d76	0x64356236303037
0x2d86	0x66666666666666
0x2d8e	0x66666666666666
0x2d96	0x66666666666666
0x2d9e	0x66666666666666
0x2da6	0x66666666666666
0x2db2	0x66666666666666
0x2dba	0x66666666666666
0x2dc2	0x66666666666666
0x2dca	0x66666666666666
0x2dd2	0x66666666666666
0x2e09	0x3930
0x2e10	0x66313631353631
0x2e24	0x64356236313137
0x2e3c	0x66666666666666
0x2e44	0x66666666666666
0x2e4c	0x66666666666666
0x2e54	0x66666666666666
0x2e5c	0x66666666666666
0x2e68	0x66666666666666
0x2e70	0x66666666666666
0x2e78	0x66666666666666
0x2e80	0x66666666666666
0x2e88	0x66666666666666
0x2eb4	0x31393039313930
0x2ebe	0x66666666666666
0x2ecb	0x363030
0x2ed8	0x66666666666666
0x2ee0	0x66666666666666
0x2ee8	0x66666666666666
0x2ef0	0x66666666666666
0x2ef8	0x66666666666666
0x2f04	0x66666666666666
0x2f0c	0x66666666666666
0x2f14	0x66666666666666
0x2f1c	0x66666666666666
0x2f24	0x66666666666666
0x2f56	0x61383136303034
0x2f66	0x66666666666666
0x2f6e	0x66666666666666
0x2f76	0x66666666666666
0x2f7e	0x66666666666666
0x2f86	0x66666666666666
0x2f92	0x66666666666666
0x2f9a	0x66666666666666
0x2fa2	0x66666666666666
0x2faa	0x66666666666666
0x2fb2	0x66666666666666
0x2fde	0x3139
0x2fe8	0x66666666666666
0x2ff5	0x363030
0x3002	0x66666666666666
0x300a	0x66666666666666
0x3012	0x66666666666666
0x301a	0x66666666666666
0x3022	0x66666666666666
0x302e	0x66666666666666
0x3036	0x66666666666666
0x303e	0x66666666666666
0x3046	0x66666666666666
0x304e	0x66666666666666
0x3080	0x66666666666666
0x3088	0x66666666666666
0x3090	0x66666666666666
0x3098	0x66666666666666
0x30a0	0x66666666666666
0x30ae	0x66666666666666
0x30b6	0x66666666666666
0x30be	0x66666666666666
0x30c6	0x66666666666666
0x30ce	0x66666666666666
0x30d9	0x64646632353261
0x30e1	0x3162653263
0x30e9	0x363963
0x30ee	0x303638
0x30f2	0x63333738646161
0x30fd	0x613766
0x3104	0x34613131
0x310c	0x35356134646635
0x3116	0x336566
0x3144	0x3335
0x314f	0x363030
0x3156	0x66666666666666
0x315e	0x66666666666666
0x3166	0x66666666666666
0x316e	0x66666666666666
0x3176	0x66666666666666
0x3184	0x66666666666666
0x318c	0x66666666666666
0x3194	0x66666666666666
0x319c	0x66666666666666
0x31a4	0x66666666666666
0x31b6	0x313537363030
0x31c0	0x64356238303733
0x31c8	0x66666666666666
0x31d0	0x66666666666666
0x31d8	0x66666666666666
0x31e0	0x66666666666666
0x31e8	0x66666666666666
0x3207	0x3930
0x320e	0x66666666666666
0x3216	0x66666666666666
0x321e	0x66666666666666
0x3226	0x66666666666666
0x322e	0x66666666666666
0x323a	0x66666666666666
0x3242	0x66666666666666
0x324a	0x66666666666666
0x3252	0x66666666666666
0x325a	0x66666666666666
0x3265	0x38626530303739
0x326d	0x35333136
0x327a	0x64316664
0x3280	0x3466
0x328b	0x39373232613364
0x3293	0x6166
0x3296	0x336234313836
0x329d	0x36623634353765
0x32ba	0x3338
0x32cd	0x3831
0x32d6	0x66666666666666
0x32de	0x66666666666666
0x32e6	0x66666666666666
0x32ee	0x66666666666666
0x32f6	0x66666666666666
0x330a	0x66666666666666
0x3312	0x66666666666666
0x331a	0x66666666666666
0x3322	0x66666666666666
0x332a	0x66666666666666
0x3343	0x363030
0x3360	0x363537
0x336a	0x64356238303931
0x3381	0x383238
0x33c1	0x30313630323039
0x33d7	0x31303631316130
0x33e8	0x66313931363833
0x33fd	0x3266
0x3403	0x383238
0x341b	0x3266
0x3427	0x383238
0x3433	0x3265
0x3457	0x3133
0x345d	0x356235
0x3469	0x3363
0x3473	0x3430
0x3479	0x353039
0x3481	0x363131
0x3485	0x3632
0x348d	0x383038
0x3499	0x3565
0x34b7	0x3436
0x34bd	0x353039
0x34c5	0x393035
0x34ca	0x65613236353632
0x34d3	0x3761
0x34df	0x6232
0x34e2	0x62313839663536
0x34eb	0x6263636136
0x34f3	0x35653134656634
0x34fc	0x62663332323136
0x3505	0x363336306434
0x350c	0x6631643365
0x3512	0x6437323130
0x3518	0x3135646535
0x3523	0x36633633343330
0x352f	0x3030
