0xad	0x3535	320
0x2470	0x30373063363264	320
0x24b6	0x66666666666666	320
0x24b6	0x353738303633	320
0x24b6	0x66303231393136	320
0x24b6	0x63333738646161	320
0x24b6	0x6237356433	320
0x24b6	0x32383335386333	320
0x24b6	0x3431323133	320
0x24b6	0x623133336631	320
0x24b6	0x6465306635	320
0x24b6	0x61353736303031	320
0x24b6	0x64356238313031	320
0x24b6	0x30373063363264	320
0x24bd	0x66666666666666	320
0x24bd	0x353738303633	320
0x24bd	0x66303231393136	320
0x24bd	0x63333738646161	320
0x24bd	0x6237356433	320
0x24bd	0x32383335386333	320
0x24bd	0x3431323133	320
0x24bd	0x623133336631	320
0x24bd	0x6465306635	320
0x24bd	0x61353736303031	320
0x24bd	0x64356238313031	320
0x24bd	0x30373063363264	320
0x2746	0x66666666666666	320
0x2746	0x353738303633	320
0x2746	0x66303231393136	320
0x2746	0x63333738646161	320
0x2746	0x6237356433	320
0x2746	0x32383335386333	320
0x2746	0x3431323133	320
0x2746	0x623133336631	320
0x2746	0x6465306635	320
0x2746	0x61353736303031	320
0x2746	0x64356238313031	320
0x2746	0x30373063363264	320
0x29e8	0x66666666666666	320
0x29e8	0x353738303633	320
0x29e8	0x66303231393136	320
0x29e8	0x63333738646161	320
0x29e8	0x6237356433	320
0x29e8	0x32383335386333	320
0x29e8	0x3431323133	320
0x29e8	0x623133336631	320
0x29e8	0x6465306635	320
0x29e8	0x61353736303031	320
0x29e8	0x64356238313031	320
0x29e8	0x30373063363264	320
0x2bec	0x373030	320
0x2e3a	0x66666666666666	320
0x2e3a	0x353738303633	320
0x2e3a	0x66303231393136	320
0x2e3a	0x63333738646161	320
0x2e3a	0x6237356433	320
0x2e3a	0x32383335386333	320
0x2e3a	0x3431323133	320
0x2e3a	0x623133336631	320
0x2e3a	0x6465306635	320
0x2e3a	0x61353736303031	320
0x2e3a	0x64356238313031	320
0x2e3a	0x30373063363264	320
