0x1b4c	0x66666666666666
0x1b7a	0x66666666666666
0x1b82	0x66666666666666
0x1b8a	0x66666666666666
0x1b92	0x66666666666666
0x1b9a	0x66666666666666
0x1ba6	0x66666666666666
0x1bae	0x66666666666666
0x1bb6	0x66666666666666
0x1bbe	0x66666666666666
0x1bc6	0x66666666666666
0x1bfb	0x303435373630
0x1c06	0x64356238313630
0x1c18	0x66666666666666
0x1c20	0x66666666666666
0x1c28	0x66666666666666
0x1c30	0x66666666666666
0x1c38	0x66666666666666
0x1c44	0x66666666666666
0x1c4c	0x66666666666666
0x1c54	0x66666666666666
0x1c5c	0x66666666666666
0x1c64	0x66666666666666
0x1cb2	0x66666666666666
0x1cba	0x66666666666666
0x1cc2	0x66666666666666
0x1cca	0x66666666666666
0x1cd2	0x66666666666666
0x1cde	0x66666666666666
0x1ce6	0x66666666666666
0x1cee	0x66666666666666
0x1cf6	0x66666666666666
0x1cfe	0x66666666666666
0x1d2c	0x66666666666666
0x1d34	0x66666666666666
0x1d3c	0x66666666666666
0x1d44	0x66666666666666
0x1d4c	0x66666666666666
0x1d58	0x66666666666666
0x1d60	0x66666666666666
0x1d68	0x66666666666666
0x1d70	0x66666666666666
0x1d78	0x66666666666666
0x1ddc	0x66666666666666
0x1de4	0x66666666666666
0x1dec	0x66666666666666
0x1df4	0x66666666666666
0x1dfc	0x66666666666666
0x1e07	0x63633136663564
0x1e0f	0x623438
0x1e1b	0x31656530
0x1e21	0x6264303637
0x1e29	0x66666363
0x1e34	0x66376137
0x1e3a	0x3066
0x1e3d	0x6237356433
0x1e45	0x61353833
0x1e72	0x3236
0x1e7d	0x393239
0x1e89	0x363030
0x1e95	0x363030
0x1ea9	0x3930
0x1eb0	0x66666666666666
0x1eb8	0x66666666666666
0x1ec0	0x66666666666666
0x1ec8	0x66666666666666
0x1ed0	0x66666666666666
0x1edf	0x363030
0x1f0f	0x30313630323038
0x1f83	0x31303631306664
0x1f8b	0x3537
0x1fb5	0x383230
0x1fd1	0x383135
0x1ff3	0x65383537383239
0x2001	0x31363832303139
0x200b	0x353035
0x201b	0x363030
0x2033	0x35376665
0x2039	0x303439
0x2045	0x3330
0x2055	0x356235
0x205d	0x363131
0x2073	0x356235
0x207d	0x363030
0x20ad	0x3930
0x20b4	0x66313638313536
0x20bd	0x363030
0x20cf	0x383538353631
0x20d8	0x653536
0x20dd	0x313536
0x20e4	0x3435373830
0x20ec	0x66666666666666
0x20f4	0x66666666666666
0x20fc	0x66666666666666
0x2104	0x66666666666666
0x210c	0x66666666666666
0x2119	0x34666663623133
0x2132	0x66666666666666
0x213d	0x30313030
0x218a	0x66666666666666
0x2192	0x66666666666666
0x219a	0x66666666666666
0x21a2	0x66666666666666
0x21aa	0x66666666666666
0x21b6	0x66666666666666
0x21be	0x66666666666666
0x21c6	0x66666666666666
0x21ce	0x66666666666666
0x21d6	0x66666666666666
0x21fa	0x66666666666666
0x2202	0x66666666666666
0x220a	0x66666666666666
0x2212	0x66666666666666
0x221a	0x66666666666666
0x2226	0x66666666666666
0x222e	0x66666666666666
0x2236	0x66666666666666
0x223e	0x66666666666666
0x2246	0x66666666666666
0x229b	0x383338
0x22bd	0x363032
0x22cf	0x3536356235
0x22eb	0x31363830313536
0x2317	0x3033
0x232d	0x353039
0x2359	0x313531
0x2362	0x373537
0x236c	0x64356236313032
0x2374	0x36356130
0x237a	0x31313531353631
0x2384	0x38353736
0x238e	0x64356235303530
0x23a4	0x3535363562
0x23ab	0x353039
0x23bb	0x363030
0x2405	0x363030
0x2414	0x66666666666666
0x241c	0x66666666666666
0x2424	0x66666666666666
0x242c	0x66666666666666
0x2434	0x66666666666666
0x244d	0x35373630
0x2456	0x64356236313132
0x246f	0x333337
0x2474	0x66666666666666
0x247c	0x66666666666666
0x2484	0x66666666666666
0x248c	0x66666666666666
0x2494	0x66666666666666
0x24a2	0x63363030373534
0x24d6	0x31393335303530
0x24eb	0x353736
0x24f4	0x64356235623530
0x24ff	0x363030
0x2513	0x3930
0x251a	0x66666666666666
0x2522	0x66666666666666
0x252a	0x66666666666666
0x2532	0x66666666666666
0x253a	0x66666666666666
0x2546	0x66666666666666
0x254e	0x66666666666666
0x2556	0x66666666666666
0x255e	0x66666666666666
0x2566	0x66666666666666
0x2574	0x66666666666666
0x257c	0x66666666666666
0x2584	0x66666666666666
0x258c	0x66666666666666
0x2594	0x66666666666666
0x25a8	0x6135373630
0x25b2	0x64356238303630
0x25c4	0x66666666666666
0x25cc	0x66666666666666
0x25d4	0x66666666666666
0x25dc	0x66666666666666
0x25e4	0x66666666666666
0x25f0	0x66666666666666
0x25f8	0x66666666666666
0x2600	0x66666666666666
0x2608	0x66666666666666
0x2610	0x66666666666666
0x2641	0x3831
0x264a	0x66303231393136
0x2665	0x34383333353233
0x266e	0x343835
0x2673	0x33353337376564
0x267d	0x31363465386336
0x2685	0x33633336366535
0x268e	0x6330
0x2692	0x393661
0x269a	0x3461393831
0x26a1	0x3033
0x26a4	0x3538
0x26b6	0x66666666666666
0x26be	0x66666666666666
0x26c6	0x66666666666666
0x26ce	0x66666666666666
0x26d6	0x66666666666666
0x26e2	0x66666666666666
0x26ea	0x66666666666666
0x26f2	0x66666666666666
0x26fa	0x66666666666666
0x2702	0x66666666666666
0x2740	0x3135
0x2743	0x356235
0x274d	0x363030
0x2761	0x3930
0x2768	0x66666666666666
0x2770	0x66666666666666
0x2778	0x66666666666666
0x2780	0x66666666666666
0x2788	0x66666666666666
0x2794	0x66666666666666
0x279c	0x66666666666666
0x27a4	0x66666666666666
0x27ac	0x66666666666666
0x27b4	0x66666666666666
0x27c2	0x66666666666666
0x27ca	0x66666666666666
0x27d2	0x66666666666666
0x27da	0x66666666666666
0x27e2	0x66666666666666
0x2800	0x64356238303630
0x2813	0x3831
0x281c	0x66666666666666
0x2824	0x66666666666666
0x282c	0x66666666666666
0x2834	0x66666666666666
0x283c	0x66666666666666
0x2850	0x66666666666666
0x2858	0x66666666666666
0x2860	0x66666666666666
0x2868	0x66666666666666
0x2870	0x66666666666666
0x2885	0x356235
0x288d	0x363030
0x2896	0x66666666666666
0x289e	0x66666666666666
0x28a6	0x66666666666666
0x28ae	0x66666666666666
0x28b6	0x66666666666666
0x28cd	0x35373630
0x28d6	0x64356238303630
0x28e8	0x66666666666666
0x28f0	0x66666666666666
0x28f8	0x66666666666666
0x2900	0x66666666666666
0x2908	0x66666666666666
0x2914	0x66666666666666
0x291c	0x66666666666666
0x2924	0x66666666666666
0x292c	0x66666666666666
0x2934	0x66666666666666
0x2968	0x613537
0x2972	0x64356236303035
0x2982	0x66666666666666
0x298a	0x66666666666666
0x2992	0x66666666666666
0x299a	0x66666666666666
0x29a2	0x66666666666666
0x29ae	0x66666666666666
0x29b6	0x66666666666666
0x29be	0x66666666666666
0x29c6	0x66666666666666
0x29ce	0x66666666666666
0x2a04	0x66666666666666
0x2a0c	0x66666666666666
0x2a14	0x66666666666666
0x2a1c	0x66666666666666
0x2a24	0x66666666666666
0x2a30	0x66666666666666
0x2a38	0x66666666666666
0x2a40	0x66666666666666
0x2a48	0x66666666666666
0x2a50	0x66666666666666
0x2a90	0x64356236303039
0x2aa0	0x66666666666666
0x2aa8	0x66666666666666
0x2ab0	0x66666666666666
0x2ab8	0x66666666666666
0x2ac0	0x66666666666666
0x2acc	0x66666666666666
0x2ad4	0x66666666666666
0x2adc	0x66666666666666
0x2ae4	0x66666666666666
0x2aec	0x66666666666666
0x2b23	0x3930
0x2b2a	0x66313631353135
0x2b38	0x3235
0x2b42	0x64356236303039
0x2b52	0x66666666666666
0x2b5a	0x66666666666666
0x2b62	0x66666666666666
