0x0	0xd
0x235b	0x2360
0x2396	0x23a6
0x23e4	0x2401
0x2510	0x2515
0x2dd8	0x2ddb
0x2593	0x25ac
0x26a2	0x26ad
0x26b6	0x26c8
0x26cc	0x2720
0x2724	0x272f
0x2738	0x274a
0x274e	0x2755
0x278b	0x27df
0x27e3	0x27ee
0x27f7	0x2809
0x2822	0x2828
0x2ac8	0x2ad3
0x2adc	0x2aee
0x2af2	0x2b49
0x2b4d	0x2b58
0x2b61	0x2b73
0x2b77	0x2b7e
0x2bb4	0x2bfa
0x2bfe	0x2c09
0x2c12	0x2c24
0x2c3d	0x2c43
0x2d2c	0x2d4d
0x2e01	0x2e06
0x2e28	0x2e94
0x2e95	0x2ed8
0x2ddb	0x2de5
0x1d2	0x1da
0x218	0x220
0x2a2	0x2aa
0x2f5	0x2fd
0x325	0x32d
0x358	0x360
0x388	0x390
0x410	0x418
0x440	0x448
0x470	0x478
0x4af	0x4b7
0x4f6	0x508
0x519	0x521
0x54c	0x554
0x5cc	0x5d4
0x654	0x65c
0x682	0x68a
0x6c7	0x6cf
0x721	0x729
0x772	0x77a
0x7fc	0x804
0x83b	0x843
0x8cc	0x8d4
0x8ff	0x907
0x92f	0x937
0x944	0x94c
0x983	0x98b
0x9c2	0x9ca
0x9f8	0xa00
0xa80	0xa88
0xa1	0xac
0x1e	0x29
0x29	0x34
0x4a	0x55
0x55	0x60
0x70	0x7b
0x7b	0x86
0x86	0x91
0xac	0xb7
0xb7	0xc2
0xc2	0xcd
0xdd	0xe8
0xe8	0xf3
0x103	0x10e
0x10e	0x119
0x119	0x124
0x124	0x12f
0x12f	0x13a
0x14a	0x155
0x155	0x160
0x160	0x16b
0x17b	0x186
0x186	0x191
0x191	0x19c
0x19c	0x1a7
0x1b7	0x1c2
0x1c2	0x30e1
0x7d5	0x7ee
0xfa5	0xfba
0x1976	0x1980
0x19c2	0x19d2
0x1d08	0x1d10
0x1d45	0x1d4e
0x1dcd	0x1de4
0x1f91	0x1fa4
0x23260x944	0x233e0x944
0x23260x2296	0x233e0x2296
0x23260x2dd8	0x233e0x2dd8
0x23110x944	0x23250x944
0x23110x2296	0x23250x2296
0x23110x2dd8	0x23250x2dd8
0x23070x944	0x23110x944
0x23070x2296	0x23110x2296
0x23070x2dd8	0x23110x2dd8
0x22fb0x944	0x23070x944
0x22fb0x2296	0x23070x2296
0x22fb0x2dd8	0x23070x2dd8
0x22dd0x944	0x22fb0x944
0x22dd0x2296	0x22fb0x2296
0x22dd0x2dd8	0x22fb0x2dd8
0x22960x944	0x22cd0x944
0x22960x2dd8	0x22cd0x2dd8
0x18880x54c	0x18a60x54c
0x18880x8ff	0x18a60x8ff
0x13440x410	0x13680x410
0x5a00x54c	0x5a90x54c
0x5a00x8ff	0x5a90x8ff
0x5a00x92f	0x5a90x92f
0x57c0x54c	0x5a00x54c
0x57c0x8ff	0x5a00x8ff
0x57c0x92f	0x5a00x92f
0x1344B0xd84	0x13680x1344B0xd84
0x1344B0x10ae	0x13680x1344B0x10ae
0x1344B0x2588	0x13680x1344B0x2588
0x1344B0xb2e	0x13680x1344B0xb2e
0x2600B0xc78	0x260cB0xc78
0x1344B0x1240	0x13680x1344B0x1240
0x2914B0x1307	0x2930B0x1307
0x297cB0x1307	0x298fB0x1307
0x1344B0x15e4	0x13680x1344B0x15e4
0x2a37B0x1770	0x2a43B0x1770
0x1344B0x17a6	0x13680x1344B0x17a6
0x1344B0x1b39	0x13680x1344B0x1b39
0x1344B0x1ec9	0x13680x1344B0x1ec9
0x1344B0x20cf	0x13680x1344B0x20cf
0x2600B0x200e	0x260cB0x200e
0x2a37B0x2048	0x2a43B0x2048
0x2600B0x280d	0x260cB0x280d
0x2600B0x2c28	0x260cB0x2c28
0x2a37B0x2c79	0x2a43B0x2c79
0xd520x218	0xd540x218
0xd520x4f6	0xd540x4f6
0x286fB0xdde	0x28bcB0xdde
0x28c0B0xdde	0x28cbB0xdde
0x1344B0x2865B0xdde	0x13680x1344B0x2865B0xdde
0x286fB0x1201	0x28bcB0x1201
0x28c0B0x1201	0x28cbB0x1201
0x1344B0x2865B0x1201	0x13680x1344B0x2865B0x1201
0x286fB0x1421	0x28bcB0x1421
0x28c0B0x1421	0x28cbB0x1421
0x1344B0x2865B0x1421	0x13680x1344B0x2865B0x1421
